,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,IDENTIFIER,
"2837,01-08-0143-46,01-409,GUATEMALA,MIXCO,COLEGIO_CRISTIANO_ELIM,""3A. AVENIDA 11-42, COLONIA EL ROSARIO, ZONA 3"",24370113,DELMY CONSUELO GARCIA DONIS DE GOMEZ,MARIA DEL CARMEN GONZALEZ ALVAREZ DE MARTINEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,DOBLE,FIN_DE_SEMANA,GUATEMALA OCCIDENTE,COLEGIO_CRISTIANO_ELIM | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | MONOLINGUE | DOBLE | GUATEMALA,",,,,,,,,,,,,,,,,,,,
2655,05-14-0037-46,05-029,ESCUINTLA,SIPACATE,COLEGIO_CRISTIANO_EMANUEL,0 CALLE 1RA. AVENIDA LOTE NO. 06 COLONIA VINICIO CEREZO ARÉVALO,58252521,WILMAR IVAN ORTIZ GONZALEZ,BLANCA ESTELA RUANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,ESCUINTLA,COLEGIO_CRISTIANO_EMANUEL | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | ESCUINTLA,
2379,05-02-0118-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO_CRISTIANO_EMMANUEL,2A. AVENIDA 1-60 ZONA 1,54478050,JUAN FRANCISCO GODOY DAVILA,MANUEL ERNESTO CORDERO SÁNCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,ESCUINTLA,COLEGIO_CRISTIANO_EMMANUEL | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | ESCUINTLA,
2378,05-02-0117-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO_CRISTIANO_EMMANUEL,2A. AVENIDA 1-60 ZONA 1,54478050,JUAN FRANCISCO GODOY DAVILA,MANUEL ERNESTO CORDERO SÁNCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,ESCUINTLA,COLEGIO_CRISTIANO_EMMANUEL | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | ESCUINTLA,
"2392,05-02-1780-46,NA,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO_CRISTIANO_EMMANUEL,""2A AVE Y 6A CALLE, ESQUINA."",NA,NA,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIOREGULAR,ESCUINTLA,COLEGIO_CRISTIANO_EMMANUEL | CERRADA_TEMPORALMENTE | DIARIOREGULAR | MONOLINGUE | VESPERTINA | ESCUINTLA,",,,,,,,,,,,,,,,,,,,
2417,05-02-3000-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO_CRISTIANO_EMMANUEL,5A. CALLE PONIENTE 0-19 ZONA 1,56647346,JUAN FRANCISCO GODOY DAVILA,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,DOBLE,FIN_DE_SEMANA,ESCUINTLA,COLEGIO_CRISTIANO_EMMANUEL | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | MONOLINGUE | DOBLE | ESCUINTLA,
"3188,01-10-0197-46,01-636,GUATEMALA,SAN JUAN SACATEPEQUEZ,COLEGIO_CRISTIANO_ENSENADA_DEL_QUETZAL,""KILOMETRO 26.5 CARRETERA A SAN RAYMUNDO, RESIDENCIALES ENSENADA DEL QUETZAL"",34596724,MARIO ALEJANDRO NAJARRO GARCIA SALAS,MAYRA YANETH PINEDA SÁNCHEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,GUATEMALA OCCIDENTE,COLEGIO_CRISTIANO_ENSENADA_DEL_QUETZAL | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | GUATEMALA,",,,,,,,,,,,,,,,,,,,
3169,01-10-0126-46,01-636,GUATEMALA,SAN JUAN SACATEPEQUEZ,COLEGIO_CRISTIANO_EVANGELICO_EFESO,LOTE 16 MANZANA 22 COLONIA LA TRINIDAD,55758225,MARIO ALEJANDRO NAJARRO GARCIA SALAS,HEISSEL MARIA MELENDEZ ROCA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA OCCIDENTE,COLEGIO_CRISTIANO_EVANGELICO_EFESO | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | GUATEMALA,
2001,00-18-0158-46,01-106,CIUDAD_CAPITAL,ZONA 18,COLEGIO_CRISTIANO_FUENTE_DEL_EXITO,5A. CALLE E 60-48 RESIDENCIALES PINARES DEL NORTE,50184747,CESAR ARNOLDO MARTINEZ GARCIA,DORCAS EUNICE MORALES DE AGUSTIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA NORTE,COLEGIO_CRISTIANO_FUENTE_DEL_EXITO | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | CIUDAD_CAPITAL,
210,16-13-0228-46,16-024,ALTA_VERAPAZ,CHISEC,COLEGIO_CRISTIANO_GALILEA,PARCELA NO. 1 COMUNIDAD SAN SIMON NO. II,57405697,ELDER ERASMO COY DUERING,BERNARDO ABIMAEL JEREMIAS GONZALEZ LEAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,ALTA VERAPAZ,COLEGIO_CRISTIANO_GALILEA | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | ALTA_VERAPAZ,
6711,06-08-0073-46,06-012,SANTA_ROSA,CHIQUIMULILLA,COLEGIO_CRISTIANO_GENERACION_DE_JOSUE,LOTIFICACIÓN ALTOS DE CHIQUIMULILLA BARRIO SAN SEBASTIAN,78849606,SIRIA ILEANA GONZALEZ REYES DE SIERRA,ELSA MARLENY TAPAL LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,SANTA ROSA,COLEGIO_CRISTIANO_GENERACION_DE_JOSUE | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | SANTA_ROSA,
"6621,12-27-0017-46,12-051,SAN_MARCOS,ESQUIPULAS PALO GORDO,COLEGIO_CRISTIANO_GENERACION_DEL_TERCER_MILENIO,""CANTON BETHANIA, ZONA 5"",57011664,PABLO ROBERTO MORALES PEREZ,ARNOLDO RENE MERIDA DE LEON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIOREGULAR,SAN MARCOS,COLEGIO_CRISTIANO_GENERACION_DEL_TERCER_MILENIO | ABIERTA | DIARIOREGULAR | MONOLINGUE | DOBLE | SAN_MARCOS,",,,,,,,,,,,,,,,,,,,
6620,12-27-0015-46,12-051,SAN_MARCOS,ESQUIPULAS PALO GORDO,COLEGIO_CRISTIANO_GENERACION_DEL_TERCER_MILENIO,CABECERA MUNICIPAL,50187426,PABLO ROBERTO MORALES PEREZ,ARNOLDO RENE MERIDA DE LEON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,SAN MARCOS,COLEGIO_CRISTIANO_GENERACION_DEL_TERCER_MILENIO | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | SAN_MARCOS,
"6622,12-27-0018-46,12-051,SAN_MARCOS,ESQUIPULAS PALO GORDO,COLEGIO_CRISTIANO_GENERACION_DEL_TERCER_MILENIO,""CANTON BETHANIA, ZONA 5"",57011664,PABLO ROBERTO MORALES PEREZ,ARNOLDO RENE MERIDA DE LEON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,SAN MARCOS,COLEGIO_CRISTIANO_GENERACION_DEL_TERCER_MILENIO | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | SAN_MARCOS,",,,,,,,,,,,,,,,,,,,
6352,12-04-0100-46,12-009,SAN_MARCOS,COMITANCILLO,COLEGIO_CRISTIANO_GENERACION_DEL_TERCER_MILENIO_G3,KILOMETRO 1.2 CARRETERA HACIA AGUA TIBIA,57788849,SERAPIO CORONADO Y CORONADO,FRANCISCO FELICIANO OROZCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,SAN MARCOS,COLEGIO_CRISTIANO_GENERACION_DEL_TERCER_MILENIO_G3 | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | SAN_MARCOS,
5280,09-01-3417-46,09-001,QUETZALTENANGO,QUETZALTENANGO,COLEGIO_CRISTIANO_GENESIS,6A. CALLE 18-63 ZONA 3,77368015,WILFRIDO EDWIN RODAS,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,QUETZALTENANGO,COLEGIO_CRISTIANO_GENESIS | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | QUETZALTENANGO,
5338,09-01-3991-46,09-001,QUETZALTENANGO,QUETZALTENANGO,COLEGIO_CRISTIANO_GENESIS,6A. CALLE 18-63 ZONA 3,77368015,WILFRIDO EDWIN RODAS,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIOREGULAR,QUETZALTENANGO,COLEGIO_CRISTIANO_GENESIS | CERRADA_TEMPORALMENTE | DIARIOREGULAR | MONOLINGUE | VESPERTINA | QUETZALTENANGO,
"3404,01-15-0178-46,01-212,GUATEMALA,VILLA NUEVA,COLEGIO_CRISTIANO_HERMOSO_JESUS,""1A. CALLE 6-91, ZONA 6"",66368660,HAROLDO ENRIQUE NAVAS PAZ,EVA MARIA ALVAREZ SANCHINELLI,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA SUR,COLEGIO_CRISTIANO_HERMOSO_JESUS | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | GUATEMALA,",,,,,,,,,,,,,,,,,,,
3383,01-15-0102-46,01-105,GUATEMALA,VILLA NUEVA,COLEGIO_CRISTIANO_HERMOSO_JESUS,NA,NA,SANTOS VICTORINO VASQUEZ PAXTOR,,DIVERSIFICADO,PRIVADO,RURAL,CERRADA_TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIOREGULAR,GUATEMALA SUR,COLEGIO_CRISTIANO_HERMOSO_JESUS | CERRADA_TEMPORALMENTE | DIARIOREGULAR | MONOLINGUE | VESPERTINA | GUATEMALA,
"5757,11-01-0188-46,11-017,RETALHULEU,RETALHULEU,COLEGIO_CRISTIANO_INTEGRAL_ISRAEL,""1A. CALLE 8-90, CANTON TABLEROS, ZONA 5"",42265485,MIGUEL ANGEL ARMAS ROCHA,HIOVANY ALEJANDRO ALVAREZ HERRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,RETALHULEU,COLEGIO_CRISTIANO_INTEGRAL_ISRAEL | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | RETALHULEU,",,,,,,,,,,,,,,,,,,,
3114,01-08-9151-46,01-409,GUATEMALA,MIXCO,COLEGIO_CRISTIANO_JESUS_DE_NAZARETH,3A. CALLE 5-30 ZONA 3 COLONIA NUEVA MONSERRAT,24310466,DELMY CONSUELO GARCIA DONIS DE GOMEZ,ENMA DIONICIA CULAJAY COTOL DE AYAPÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,GUATEMALA OCCIDENTE,COLEGIO_CRISTIANO_JESUS_DE_NAZARETH | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | GUATEMALA,
,,,,,,,,,,,,,,,,,,,
3207,01-10-7378-46,01-636,GUATEMALA,SAN JUAN SACATEPEQUEZ,COLEGIO_CRISTIANO_LA_ESTRELLA,CASERIO SANJUANERITOS COLONIA GRANJA LA ESTRELLA,58567861,MARIO ALEJANDRO NAJARRO GARCIA SALAS,MIRNA SUSANACATALAN DE GUEVARA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,GUATEMALA OCCIDENTE,COLEGIO_CRISTIANO_LA_ESTRELLA | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | GUATEMALA,
"5397,09-09-0091-46,09-017,QUETZALTENANGO,SAN JUAN OSTUNCALCO,COLEGIO_CRISTIANO_LICEO_INFORMATICO_MANUEL,""7A. CALLE """"A"""" 2-30 ZONA 4"",77625721,JAIME IVAN GODINEZ VELASQUEZ,MARILYN ELIZABETH GONZÁLEZ DÍAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,QUETZALTENANGO,COLEGIO_CRISTIANO_LICEO_INFORMATICO_MANUEL | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | QUETZALTENANGO,",,,,,,,,,,,,,,,,,,,
"5398,09-09-0092-46,09-017,QUETZALTENANGO,SAN JUAN OSTUNCALCO,COLEGIO_CRISTIANO_LICEO_INFORMATICO_MANUEL,""7A. CALLE """"A"""" 2-30 ZONA 4"",77625721,JAIME IVAN GODINEZ VELASQUEZ,ELVIN JACOB MALDONADO DÍAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,QUETZALTENANGO,COLEGIO_CRISTIANO_LICEO_INFORMATICO_MANUEL | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | QUETZALTENANGO,",,,,,,,,,,,,,,,,,,,
609,04-14-0029-46,04-025,CHIMALTENANGO,PARRAMOS,COLEGIO_CRISTIANO_LOS_BRAZOS_DE_JESUS,CANTÓN LA UNIÓN,78499360,ANGEL ARTURO HURTARTE CHACON,GERSON ARELY PUZ SAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,CHIMALTENANGO,COLEGIO_CRISTIANO_LOS_BRAZOS_DE_JESUS | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | CHIMALTENANGO,
"3196,01-10-0219-46,01-636,GUATEMALA,SAN JUAN SACATEPEQUEZ,COLEGIO_CRISTIANO_MACEDONIA,""GRANJA ALEJANDRA LOTE 3, ENTRADA A LO DE MEJIA, CIUDAD QUETZAL"",57241684,MARIO ALEJANDRO NAJARRO GARCIA SALAS,ANGELA EUGENIA CALLEJAS PAREDES DE ROJAS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA OCCIDENTE,COLEGIO_CRISTIANO_MACEDONIA | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | GUATEMALA,",,,,,,,,,,,,,,,,,,,
2524,05-08-0060-46,05-014,ESCUINTLA,GUANAGAZAPA,COLEGIO_CRISTIANO_MANA_REGALOS_DE_AMOR,KILOMETRO 81 CARRETERA A TAXISCO ALDEA BRITO FRENTE A GRANJAS SAN PABLO,42408553,JENIFER LISSETH GODINEZ SAMAYOA,ESMIRNA ELIZABETH GUTIÉRREZ LÓPEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,ESCUINTLA,COLEGIO_CRISTIANO_MANA_REGALOS_DE_AMOR | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | ESCUINTLA,
3229,01-11-0039-46,01-613,GUATEMALA,SAN RAYMUNDO,COLEGIO_CRISTIANO_MANANA_GLORIOSA,ALDEA LLANO DE LA VIRGEN,51663394,RONY ESTUARDO AREVALO CASTILLO,WILMER HARMODIO AVALOS PEREZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA OCCIDENTE,COLEGIO_CRISTIANO_MANANA_GLORIOSA | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | GUATEMALA,
5953,11-08-0066-46,11-018,RETALHULEU,NUEVO SAN CARLOS,COLEGIO_CRISTIANO_MARANATHA,COLONIA MORÁN,41230783,MIRTA ALIDA CASTELLANOS MARROQUIN,EDY RENATO DE LEÓN LOL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,RETALHULEU,COLEGIO_CRISTIANO_MARANATHA | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | RETALHULEU,
4196,18-01-0168-46,18-005,IZABAL,PUERTO BARRIOS,COLEGIO_CRISTIANO_MARANATHA,7A. AVENIDA ENTRE 16A. Y 17A. CALLES,79429136,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MARIA OSORIO DE QUINTO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,IZABAL,COLEGIO_CRISTIANO_MARANATHA | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | IZABAL,
5952,11-08-0064-46,11-018,RETALHULEU,NUEVO SAN CARLOS,COLEGIO_CRISTIANO_MARANATHA,COLONIA MORÁN,41230783,MIRTA ALIDA CASTELLANOS MARROQUIN,EDY RENATO DE LEÓN LOL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,RETALHULEU,COLEGIO_CRISTIANO_MARANATHA | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | RETALHULEU,
5954,11-08-0070-46,11-017,RETALHULEU,NUEVO SAN CARLOS,COLEGIO_CRISTIANO_MARANATHA,COLONIA MORÁN,41230783,MIGUEL ANGEL ARMAS ROCHA,EDY RENATO DE LEÓN LOL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,RETALHULEU,COLEGIO_CRISTIANO_MARANATHA | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | RETALHULEU,
,,,,,,,,,,,,,,,,,,,
4195,18-01-0167-46,18-005,IZABAL,PUERTO BARRIOS,COLEGIO_CRISTIANO_MARANATHA,7A. AVENIDA ENTRE 16A. Y 17A. CALLES,79429163,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MARIA OSORIO DE QUINTO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,DOBLE,FIN_DE_SEMANA,IZABAL,COLEGIO_CRISTIANO_MARANATHA | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | MONOLINGUE | DOBLE | IZABAL,
"3600,01-15-8584-46,01-207,GUATEMALA,VILLA NUEVA,COLEGIO_CRISTIANO_MISNA,""3A. AVENIDA 52-04 ZONA 12, VILLALOBOS II"",24797359,LUZ ANTONIA POCON CARRILLO,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIOREGULAR,GUATEMALA SUR,COLEGIO_CRISTIANO_MISNA | CERRADA_TEMPORALMENTE | DIARIOREGULAR | MONOLINGUE | MATUTINA | GUATEMALA,",,,,,,,,,,,,,,,,,,,
"3609,01-15-8732-46,01-406,GUATEMALA,VILLA NUEVA,COLEGIO_CRISTIANO_MISNA,""3A. AVAENIDA 52-04 ZONA 12, VILLA LOBOS II"",24797359,MIGUEL ALVARO RODRIGUEZ PORTILLO,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,DOBLE,FIN_DE_SEMANA,GUATEMALA SUR,COLEGIO_CRISTIANO_MISNA | CERRADA_TEMPORALMENTE | FIN_DE_SEMANA | MONOLINGUE | DOBLE | GUATEMALA,",,,,,,,,,,,,,,,,,,,
6149,03-07-0022-46,03-005,SACATEPEQUEZ,SAN BARTOLOME MILPAS ALTAS,COLEGIO_CRISTIANO_MIXTO_ALELUYA,KILOMETRO 32 CARRETERA INTERAMERICANA,78312329,BRAULIO LORENZO QUINILLA CASTRO,FLOR LOURDES CHICOL SIPAC DE SIPAC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,SACATEPÉQUEZ,COLEGIO_CRISTIANO_MIXTO_ALELUYA | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | SACATEPEQUEZ,
6147,03-07-0001-46,03-005,SACATEPEQUEZ,SAN BARTOLOME MILPAS ALTAS,COLEGIO_CRISTIANO_MIXTO_ALELUYA,KM. 32 CARRETERA INTERAMERICANA,78312329,BRAULIO LORENZO QUINILLA CASTRO,ALBER VINICIO SITAMUL CHIQUITO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA_TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIOREGULAR,SACATEPÉQUEZ,COLEGIO_CRISTIANO_MIXTO_ALELUYA | CERRADA_TEMPORALMENTE | DIARIOREGULAR | MONOLINGUE | VESPERTINA | SACATEPEQUEZ,
5393,09-09-0080-46,09-017,QUETZALTENANGO,SAN JUAN OSTUNCALCO,COLEGIO_CRISTIANO_MIXTO_ALFA_Y_OMEGA,1RA. CALLE 5-45 ZONA 4,56906861,JAIME IVAN GODINEZ VELASQUEZ,ELVIN JACOB MALDONADO DÍAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,QUETZALTENANGO,COLEGIO_CRISTIANO_MIXTO_ALFA_Y_OMEGA | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | QUETZALTENANGO,
6537,12-16-0041-46,12-037,SAN_MARCOS,CATARINA,COLEGIO_CRISTIANO_MIXTO_BETHEL,ALDEA EL TECOMATE,53409424,CESAR AUGUSTO AMBROCIO GUTIERREZ,IRIDA ELIZET BAUTISTA OROZCO DE GIRÓN,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,SAN MARCOS,COLEGIO_CRISTIANO_MIXTO_BETHEL | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | SAN_MARCOS,
5224,09-01-0369-46,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO_CRISTIANO_MIXTO_BILINGUE_EL_OLIMPO,1A. AVENIDA 0-45 ZONA 9,42486699,WILSON RANFERI SIGUENZA LOPEZ,EDIN ISRAEL IXQUIAC CANIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,QUETZALTENANGO,COLEGIO_CRISTIANO_MIXTO_BILINGUE_EL_OLIMPO | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | QUETZALTENANGO,
"4256,18-01-0368-46,18-005,IZABAL,PUERTO BARRIOS,COLEGIO_CRISTIANO_MIXTO_BILINGUE_MI_DULCE_PARAISO,""4A, CALLE 15 AVENIDA, COLONIA SAN AGUSTIN, ALDEA SANTO TOMAS DE CASTILLA"",79524378,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MAGGIE SHAUNNY MAHLI MUÑOZ SALGUERO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,IZABAL,COLEGIO_CRISTIANO_MIXTO_BILINGUE_MI_DULCE_PARAISO | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | IZABAL,",,,,,,,,,,,,,,,,,,,
5356,09-02-0028-46,09-009,QUETZALTENANGO,SALCAJA,COLEGIO_CRISTIANO_MIXTO_HISPANOAMERICANO_CON_ORIENTACION_EN_COMPUTACION,5TA. AVENIDA 3-45 ZONA 2,77687414,GABRIEL CHOX BARRIOS,ILIANA MARINE ALVAREZ COS DE CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,QUETZALTENANGO,COLEGIO_CRISTIANO_MIXTO_HISPANOAMERICANO_CON_ORIENTACION_EN_COMPUTACION | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | QUETZALTENANGO,
5360,09-02-0041-46,09-009,QUETZALTENANGO,SALCAJA,COLEGIO_CRISTIANO_MIXTO_HISPANOAMERICANO_CON_ORIENTACION_EN_COMPUTACION,5TA. AVENIDA 3-45 ZONA 2,77688211,GABRIEL CHOX BARRIOS,ILIANA MARINÉ ALVAREZ COS DE CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN_DE_SEMANA,QUETZALTENANGO,COLEGIO_CRISTIANO_MIXTO_HISPANOAMERICANO_CON_ORIENTACION_EN_COMPUTACION | ABIERTA | FIN_DE_SEMANA | MONOLINGUE | DOBLE | QUETZALTENANGO,
"3395,01-15-0153-46,01-206,GUATEMALA,VILLA NUEVA,COLEGIO_CRISTIANO_MIXTO_JOSUE_UNO_TRES,""3A. AVENIDA, 25-98, COLONIA VILLA LOBOS I, ZONA 12"",24798309,INGRID ELIZABETH PEÑA TRUJILLO,GILDA LORENA SANCHEZ NORIEGA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,GUATEMALA SUR,COLEGIO_CRISTIANO_MIXTO_JOSUE_UNO_TRES | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | GUATEMALA,",,,,,,,,,,,,,,,,,,,
5272,09-01-3293-46,09-006,QUETZALTENANGO,QUETZALTENANGO,COLEGIO_CRISTIANO_MIXTO_PREUNIVERSITARIO_PESTALOZZI,8A. CALLE 5-13 ZONA 1,77669611,DANIEL GUADALUPE VASQUEZ LOPEZ,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIOREGULAR,QUETZALTENANGO,COLEGIO_CRISTIANO_MIXTO_PREUNIVERSITARIO_PESTALOZZI | ABIERTA | DIARIOREGULAR | MONOLINGUE | VESPERTINA | QUETZALTENANGO,
"5452,09-20-0034-46,09-031,QUETZALTENANGO,COATEPEQUE,COLEGIO_CRISTIANO_MIXTO_SHALOM,""KILÓMETRO 1 RUTA A NUEVO CHUATUJ,"",56646144,YOMAR EFRAIN FLORES BARBERENA,SANDRA YOLANDA VILLAGRÁN OCHOA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIOREGULAR,QUETZALTENANGO,COLEGIO_CRISTIANO_MIXTO_SHALOM | ABIERTA | DIARIOREGULAR | MONOLINGUE | MATUTINA | QUETZALTENANGO,",,,,,,,,,,,,,,,,,,,
